,auc,f1,acc,bacc,precision,sensitivity,specificity,avgprec,ece,mce,n,pos%
famid0,0.9673202614379085,0.8000000000000002,0.9154929577464789,0.843681917211329,0.9230769230769231,0.7058823529411765,0.9814814814814815,0.9288649559440636,0.07572976359441667,0.734772264957428,71,0.23943661971830985
famid1,0.987736900780379,0.9333333333333332,0.9516129032258065,0.9437012263099219,0.9545454545454546,0.9130434782608695,0.9743589743589743,0.9835385804080714,0.049540176484433394,0.6804646849632263,124,0.3709677419354839
famid3,0.9522414958323947,0.7727272727272727,0.9537037037037037,0.8592025230907863,0.8095238095238095,0.7391304347826086,0.9792746113989638,0.8572633356777615,0.03536509712338792,0.6683053076267242,216,0.10648148148148148
famid7,0.9623655913978495,0.8529411764705881,0.9029126213592233,0.9121863799283154,0.7837837837837838,0.9354838709677419,0.8888888888888888,0.948818581895952,0.07316290574528059,0.6674038767814636,103,0.30097087378640774
famid10,0.9339933993399341,0.7199999999999999,0.888,0.8353960396039604,0.6923076923076923,0.75,0.9207920792079208,0.8099711922334762,0.08735512886941431,0.6698439717292786,125,0.192
famid14,0.9284722222222221,0.7391304347826088,0.8695652173913043,0.8625,0.6538461538461539,0.85,0.875,0.861843079627556,0.12331097538623473,0.6840769052505493,92,0.21739130434782608
famid30,0.9819444444444445,0.8292682926829269,0.9239130434782609,0.8972222222222221,0.8095238095238095,0.85,0.9444444444444444,0.9374623690579573,0.0621979975587,0.7560558915138245,92,0.21739130434782608
famid32,0.9814814814814815,0.8888888888888888,0.9393939393939394,0.9236111111111112,0.8888888888888888,0.8888888888888888,0.9583333333333334,0.9579118185735833,0.0664784757025314,0.8760782480239868,66,0.2727272727272727
famid33,0.9732142857142857,0.7272727272727273,0.9032258064516129,0.7857142857142857,1.0,0.5714285714285714,1.0,0.9275563676367475,0.10038740611484934,0.5230201482772827,62,0.22580645161290322
famid43,0.9416666666666667,0.8627450980392156,0.9054054054054054,0.9083333333333333,0.8148148148148148,0.9166666666666666,0.9,0.9014266495655588,0.08842620603438163,0.3674405813217163,74,0.32432432432432434
